Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage Origin Port,Leg Start Port/anch,In Transit Port Calls,MMSI,Imo,Voyage Origin Port Atd,Vessel Type - Generic,Capacity - Dwt,My Fleets,Flag
TB.MARC ALEXANDRO 11,DEPARTURE,Port,GRESIK,2021-12-08 00:40 UTC,-,-,Not in Transit,525024101,0,2021-11-27 05:52 UTC,Tug,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-08 00:41 UTC,-,-,Not in Transit,525200068,9793648,2021-12-07 15:16 UTC,Tug,190,-,Indonesia
LCT. RPB XVII,ARRIVAL,Port,GRESIK,2021-12-08 01:04 UTC,GRESIK,GRESIK,Not in Transit,525005380,0,2021-11-20 15:36 UTC,Other,-,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-08 01:12 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-08 00:41 UTC,Tug,190,-,Indonesia
KM EXPRESS BAHARI 6F,DEPARTURE,Port,GRESIK,2021-12-08 02:20 UTC,-,-,Not in Transit,525500455,0,-,Passenger,-,-,Indonesia
BRAWIDJAYA I,DEPARTURE,Port,GRESIK,2021-12-08 04:13 UTC,-,-,Not in Transit,525400542,8678700,2021-11-10 14:46 UTC,Tug,-,-,Indonesia
ALESSA,DEPARTURE,Port,GRESIK,2021-12-08 04:22 UTC,-,-,Not in Transit,525121021,9438262,2021-11-26 12:54 UTC,Tanker,9027,-,Indonesia
S.VICTORY.15,ARRIVAL,Port,GRESIK,2021-12-08 04:40 UTC,SAMPIT,SAMPIT ANCH,Not in Transit,525400201,0,2021-11-24 11:19 UTC,Tug,-,-,Indonesia
TB. MARINA 2206,ARRIVAL,Port,GRESIK,2021-12-08 05:25 UTC,PALEMBANG,PALEMBANG ANCH,Not in Transit,525020338,0,2021-11-01 10:12 UTC,Tug,-,-,Indonesia
ACACIA,ARRIVAL,Port,GRESIK,2021-12-08 05:34 UTC,SONGKHLA,SURABAYA ANCH,Not in Transit,371044000,9476599,2021-11-15 14:27 UTC,Tanker,13565,-,Panama
TB.KSA 90,ARRIVAL,Port,GRESIK,2021-12-08 05:57 UTC,TUBAN,TUBAN,Not in Transit,525400597,0,2021-12-06 02:52 UTC,Tug,-,-,Indonesia
TB.CAHAYA SURYA 2,ARRIVAL,Port,GRESIK,2021-12-08 06:34 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,525003428,0,2021-12-08 06:19 UTC,Tug,-,-,Indonesia
GUNTA III,DEPARTURE,Port,GRESIK,2021-12-08 07:02 UTC,-,-,Not in Transit,525200857,0,2021-12-03 05:02 UTC,Tug,-,-,Indonesia
IMMANUEL WGSR 01,ARRIVAL,Port,GRESIK,2021-12-08 07:04 UTC,-,-,Not in Transit,525301304,0,-,Tug,-,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-08 07:31 UTC,-,-,Not in Transit,525100619,8993746,2021-12-07 05:05 UTC,Tug,-,-,Indonesia
IMMANUEL WGSR 01,DEPARTURE,Port,GRESIK,2021-12-08 07:43 UTC,-,-,Not in Transit,525301304,0,-,Tug,-,-,Indonesia
GIAT ARMADA 01,ARRIVAL,Port,GRESIK,2021-12-08 07:51 UTC,BADE,SURABAYA ANCH,Not in Transit,525201554,9079755,2021-11-26 21:30 UTC,Tanker,3950,-,Indonesia
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-08 07:52 UTC,GRESIK,GRESIK,Not in Transit,525100619,8993746,2021-12-08 07:31 UTC,Tug,-,-,Indonesia
IMMANUEL WGSR 01,ARRIVAL,Port,GRESIK,2021-12-08 07:58 UTC,GRESIK,GRESIK,Not in Transit,525301304,0,2021-12-08 07:43 UTC,Tug,-,-,Indonesia
KARYA MANDIRI,DEPARTURE,Port,GRESIK,2021-12-08 08:13 UTC,-,-,Not in Transit,525019233,8519538,2021-11-20 09:09 UTC,Cargo,1550,-,Indonesia
KMP. SAMUDRA UTAMA,DEPARTURE,Port,GRESIK,2021-12-08 08:13 UTC,-,-,Not in Transit,525005290,0,2021-11-13 01:18 UTC,Tug,-,-,Indonesia
TB BAHTERA ZALFA,DEPARTURE,Port,GRESIK,2021-12-08 08:34 UTC,-,-,Not in Transit,525101936,0,2021-11-29 14:16 UTC,Tug,-,-,Indonesia
KM.KY 02,ARRIVAL,Port,GRESIK,2021-12-08 09:10 UTC,GRESIK,GRESIK,Not in Transit,525900127,0,2021-11-03 14:16 UTC,Cargo,-,-,Indonesia
SEROJA XVI,DEPARTURE,Port,GRESIK,2021-12-08 09:23 UTC,-,-,Not in Transit,525024402,9767223,2021-11-30 04:29 UTC,Tanker,5573,-,Indonesia
TB. BA 999,DEPARTURE,Port,GRESIK,2021-12-08 09:26 UTC,-,-,Not in Transit,525023263,0,-,Tug,-,-,Indonesia
SEROJA III,ARRIVAL,Port,GRESIK,2021-12-08 12:11 UTC,PONTIANAK,SURABAYA ANCH,Not in Transit,,,,Tanker,,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-08 13:22 UTC,-,-,Not in Transit,,,,Tug,,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-08 14:58 UTC,GRESIK,GRESIK,Not in Transit,,,,Tug,,-,Indonesia
PUSAKA ABADI,DEPARTURE,Port,GRESIK,2021-12-08 15:25 UTC,-,-,Not in Transit,,,,Tanker,,-,Malaysia
SEROJA XIII,DEPARTURE,Port,GRESIK,2021-12-08 19:43 UTC,-,-,Not in Transit,,,,Tanker,,-,Indonesia
TUNAS BARU,DEPARTURE,Port,GRESIK,2021-12-08 19:57 UTC,-,-,Not in Transit,,,,Cargo,,-,Indonesia
LCT. RPB XVII,DEPARTURE,Port,GRESIK,2021-12-08 21:25 UTC,-,-,Not in Transit,,,,Other,,-,Indonesia
TEGAS JAYA,ARRIVAL,Port,GRESIK,2021-12-08 22:19 UTC,PERTAMINA ABHERKA,PERTAMINA ABHERKA,Not in Transit,,,,Crew Boat,,-,Indonesia
CB.EP ALFA SURABAYA,ARRIVAL,Port,GRESIK,2021-12-08 23:19 UTC,PERTAMINA ABHERKA,PERTAMINA ABHERKA,Not in Transit,,,,Crew Boat,,-,Indonesia
SERVEWELL VIRTUE,DEPARTURE,Port,GRESIK,2021-12-08 23:32 UTC,-,-,Not in Transit,,,,Crew Boat,,-,Indonesia
SMS VINCENT,DEPARTURE,Port,GRESIK,2021-12-08 23:46 UTC,-,-,Not in Transit,,,,Utility Vessel,,-,Indonesia
TRIFOSA,DEPARTURE,Port,GRESIK,2021-12-09 00:32 UTC,-,-,Not in Transit,,,,Cargo,,-,Indonesia
HARAPAN BARU,DEPARTURE,Port,GRESIK,2021-12-09 00:34 UTC,-,-,Not in Transit,,,,Tanker,,-,Malaysia
EDRICKO 3,ARRIVAL,Port,GRESIK,2021-12-09 00:51 UTC,CILACAP,SURABAYA ANCH,Not in Transit,,,,Tanker,,-,Indonesia
KM SEJAHTERA 25,ARRIVAL,Port,GRESIK,2021-12-09 01:13 UTC,GRESIK,GRESIK,Not in Transit,,,,Cargo,,-,Indonesia
SEROJA XXIII,ARRIVAL,Port,GRESIK,2021-12-09 01:32 UTC,TELUKBAYUR,TELUKBAYUR,Not in Transit,,,,Tanker,,-,Indonesia
EASY PROSPERITY,DEPARTURE,Port,GRESIK,2021-12-09 01:34 UTC,-,-,Not in Transit,,,,Cargo,,-,Panama
TRIFOSA,ARRIVAL,Port,GRESIK,2021-12-09 01:37 UTC,SURABAYA,SURABAYA,Not in Transit,,,,Cargo,,-,Indonesia
CB.EP ALFA SURABAYA,DEPARTURE,Port,GRESIK,2021-12-09 01:51 UTC,-,-,Not in Transit,,,,Crew Boat,,-,Indonesia
TEGAS JAYA,DEPARTURE,Port,GRESIK,2021-12-09 02:06 UTC,-,-,Not in Transit,,,,Crew Boat,,-,Indonesia
EXPRESS BAHARI 8E,DEPARTURE,Port,GRESIK,2021-12-09 02:26 UTC,-,-,Not in Transit,,,,Passenger,,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-09 02:43 UTC,GRESIK,GRESIK,Not in Transit,,,,Other,,-,Indonesia
POLAIR3,DEPARTURE,Port,GRESIK,2021-12-09 03:14 UTC,-,-,Not in Transit,,,,Other,,-,Indonesia
