date,vessel_type,value
2021-12-08,Tug,23
2021-12-08,Other,2
2021-12-08,Passenger,1
2021-12-08,Tanker,6
2021-12-08,Cargo,3
2021-12-08,Crew Boat,3
2021-12-08,Utility Vessel,1
2021-12-08,Special Craft,0
2021-12-08,High Speed Craft,0
2021-12-08,Pleasure Craft,0
2021-12-09,Tug,19
2021-12-09,Other,11
2021-12-09,Passenger,2
2021-12-09,Tanker,8
2021-12-09,Cargo,9
2021-12-09,Crew Boat,3
2021-12-09,Utility Vessel,0
2021-12-09,Special Craft,2
2021-12-09,High Speed Craft,2
2021-12-09,Pleasure Craft,0
2021-12-10,Tug,22
2021-12-10,Other,3
2021-12-10,Passenger,1
2021-12-10,Tanker,17
2021-12-10,Cargo,4
2021-12-10,Crew Boat,0
2021-12-10,Utility Vessel,0
2021-12-10,Special Craft,2
2021-12-10,High Speed Craft,0
2021-12-10,Pleasure Craft,0
2021-12-11,Tug,14
2021-12-11,Other,3
2021-12-11,Passenger,1
2021-12-11,Tanker,5
2021-12-11,Cargo,7
2021-12-11,Crew Boat,0
2021-12-11,Utility Vessel,0
2021-12-11,Special Craft,2
2021-12-11,High Speed Craft,0
2021-12-11,Pleasure Craft,0
2021-12-12,Tug,14
2021-12-12,Other,1
2021-12-12,Passenger,4
2021-12-12,Tanker,2
2021-12-12,Cargo,7
2021-12-12,Crew Boat,0
2021-12-12,Utility Vessel,0
2021-12-12,Special Craft,4
2021-12-12,High Speed Craft,0
2021-12-12,Pleasure Craft,0
2021-12-13,Tug,8
2021-12-13,Other,0
2021-12-13,Passenger,0
2021-12-13,Tanker,2
2021-12-13,Cargo,7
2021-12-13,Crew Boat,0
2021-12-13,Utility Vessel,0
2021-12-13,Special Craft,0
2021-12-13,High Speed Craft,0
2021-12-13,Pleasure Craft,0
2021-12-14,Tug,5
2021-12-14,Other,0
2021-12-14,Passenger,2
2021-12-14,Tanker,5
2021-12-14,Cargo,5
2021-12-14,Crew Boat,0
2021-12-14,Utility Vessel,0
2021-12-14,Special Craft,6
2021-12-14,High Speed Craft,1
2021-12-14,Pleasure Craft,1
2021-12-15,Tug,9
2021-12-15,Other,0
2021-12-15,Passenger,0
2021-12-15,Tanker,2
2021-12-15,Cargo,5
2021-12-15,Crew Boat,0
2021-12-15,Utility Vessel,0
2021-12-15,Special Craft,4
2021-12-15,High Speed Craft,0
2021-12-15,Pleasure Craft,0
2021-12-16,Tug,24
2021-12-16,Other,0
2021-12-16,Passenger,0
2021-12-16,Tanker,10
2021-12-16,Cargo,7
2021-12-16,Crew Boat,0
2021-12-16,Utility Vessel,0
2021-12-16,Special Craft,7
2021-12-16,High Speed Craft,1
2021-12-16,Pleasure Craft,0
2021-12-17,Tug,32
2021-12-17,Other,1
2021-12-17,Passenger,2
2021-12-17,Tanker,8
2021-12-17,Cargo,17
2021-12-17,Crew Boat,0
2021-12-17,Utility Vessel,0
2021-12-17,Special Craft,6
2021-12-17,High Speed Craft,0
2021-12-17,Pleasure Craft,1
2021-12-18,Tug,34
2021-12-18,Other,5
2021-12-18,Passenger,3
2021-12-18,Tanker,7
2021-12-18,Cargo,6
2021-12-18,Crew Boat,0
2021-12-18,Utility Vessel,0
2021-12-18,Special Craft,1
2021-12-18,High Speed Craft,0
2021-12-18,Pleasure Craft,0
2021-12-19,Tug,26
2021-12-19,Other,1
2021-12-19,Passenger,3
2021-12-19,Tanker,6
2021-12-19,Cargo,8
2021-12-19,Crew Boat,0
2021-12-19,Utility Vessel,0
2021-12-19,Special Craft,2
2021-12-19,High Speed Craft,0
2021-12-19,Pleasure Craft,0
